OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k,Nat_5c_corridors,Nat_5c_corridors_truncated_at_200k
180,1,2,181074,181074,54428,113986,98134,148711,181074,181074,54428,113986,148711,98134,78307,78307
181,1,4,181377,107998,82771,124196,130549,185199,181377,107998,82771,124196,185199,130549,107998,107998
182,1,1,164598,164598,4809,13065,151616,294601,164598,164598,4809,13065,,151616,41312,41312
183,1,1,116159,116281,17771,68649,54767,86153,116159,116281,17771,68649,86153,54767,51553,51553
184,1,1,174193,84671,71147,122220,121866,176612,174193,84671,71147,122220,176612,121866,84671,84671
185,1,8,188269,83216,74899,129977,131608,186887,188269,83216,74899,129977,186887,131608,83216,83216
186,1,5,213937,155649,95812,134658,147346,222264,,155649,95812,134658,,147346,155649,155649
187,1,1,123123,93988,31139,50931,60601,141443,123123,93988,31139,50931,141443,60601,93988,93988
188,1,1,77149,51860,1842,4763,23570,109863,77149,51860,1842,4763,109863,23570,51860,51860
189,1,1,356094,356168,51924,158524,358161,487147,,,51924,158524,,,152671,152671
190,1,1,130728,130833,25418,78264,61376,96430,130728,130833,25418,78264,96430,61376,41781,41781
191,1,1,61750,38155,199,11300,13728,80556,61750,38155,199,11300,80556,13728,38155,38155
192,1,1,223539,223539,20088,85709,187164,282125,,,20088,85709,,187164,22499,22499
193,1,1,59100,47022,895,1656,7922,76917,59100,47022,895,1656,76917,7922,47022,47022
194,1,1,111830,111297,14480,59675,36838,80653,111830,111297,14480,59675,80653,36838,23916,23916
195,1,1,263202,151384,141462,196539,206257,261966,,151384,141462,196539,,,151384,151384
196,1,1,171071,164822,59611,106232,105777,196389,171071,164822,59611,106232,196389,105777,142213,142213
197,1,7,178922,41972,22562,46545,169559,250066,178922,41972,22562,46545,,169559,41972,41972
198,1,1,119232,119232,12294,50216,80250,177428,119232,119232,12294,50216,177428,80250,1353,1353
199,1,7,98364,98081,14566,61767,41333,63889,98364,98081,14566,61767,63889,41333,25910,25910
200,1,7,329662,328961,36633,140389,326632,446112,,,36633,140389,,,122862,122862
201,1,3,91473,13904,8286,46303,33581,72603,91473,13904,8286,46303,72603,33581,13904,13904
202,1,1,136081,132401,4062,5699,109396,241988,136081,132401,4062,5699,,109396,61881,61881
203,1,1,155033,46754,47499,101478,97492,149441,155033,46754,47499,101478,149441,97492,46754,46754
204,1,1,206077,138503,103876,142982,159656,212323,,138503,103876,142982,,159656,138503,138503
205,1,1,37979,19732,5257,10697,224,35152,37979,19732,5257,10697,35152,224,19732,19732
206,1,1,320634,216445,204458,253442,262788,318429,,,,,,,216445,
207,1,1,30869,30696,1559,21983,1589,10556,30869,30696,1559,21983,10556,1589,1598,1598
208,1,5,94000,93992,6677,47207,22796,72717,94000,93992,6677,47207,72717,22796,16413,16413
209,1,8,254781,255853,132626,190644,178869,226364,,,132626,190644,,178869,163512,163512
210,1,1,217655,217122,62808,123885,144498,216831,,,62808,123885,,144498,67512,67512
211,1,1,194186,73812,6463,29664,189824,293450,194186,73812,6463,29664,,189824,73812,73812
212,1,6,310454,310698,205850,239270,247626,293958,,,,,,,240043,
213,1,1,62394,16484,0,13714,15702,66889,62394,16484,0,13714,66889,15702,16484,16484
214,1,5,190136,190136,11250,32142,194601,336408,190136,190136,11250,32142,,194601,46382,46382
