OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
61,1913182730,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16408562,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.998642,-72.953192,27411,,,,,,2016-08-29T15:01:00Z,29,8,2016,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,16408562,,,2019-08-21T14:02:21Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-11-29T15:09:03.083Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,204012,204012,15375,73606,158913,253593,,,15375,73606,,158913
62,1913182691,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16408759,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.911104,-72.938114,27411,,,,,,2016-08-19T20:12:00Z,19,8,2016,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,16408759,,,2019-08-21T14:02:23Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-11-29T15:10:13.205Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,190434,190434,14555,73519,140247,235208,190434,190434,14555,73519,,140247
63,1913182649,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16408565,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.829275,-72.837846,27411,,,,,,2016-08-29T10:19:00Z,29,8,2016,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,16408565,,,2019-08-21T14:02:22Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-11-29T15:09:08.221Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,186395,186395,18329,77710,132413,227374,186395,186395,18329,77710,,132413
64,1913182633,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16408421,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.929286,-72.986277,27411,,,,,,2016-10-19T00:29:00Z,19,10,2016,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,16408421,,,2019-08-21T14:02:17Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-11-29T15:09:08.460Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,188950,188950,15409,71946,141890,236429,188950,188950,15409,71946,,141890
65,1913182305,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16406743,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.806665,-72.850139,27411,,,,,,2017-09-08T06:38:00Z,8,9,2017,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,16406743,,,2019-08-21T14:02:15Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-11-29T15:10:06.130Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,181857,181705,17649,77030,127620,222581,181857,181705,17649,77030,,127620
66,1913175226,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16376328,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.903581,-72.820861,27411,,,,,,2017-11-14T06:30:00Z,14,11,2017,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,16376328,,,2019-08-21T14:02:10Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-11-29T15:09:56.106Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,202436,202436,20761,80871,149096,244056,,,20761,80871,,149096
67,1913174972,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16375545,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.95925,-72.998311,27411,,,,,,2017-12-07T23:02:00Z,7,12,2017,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,16375545,,,2019-08-21T14:02:09Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-11-29T15:10:07.099Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,192104,192104,15283,71306,147593,242133,192104,192104,15283,71306,,147593
68,1883942373,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14630953,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.7869,-73.80381,61,,,,,,2018-07-14T08:36:00Z,14,7,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,14630953,,,2019-08-21T14:01:36Z,CC_BY_NC_4_0,wrofe,wrofe,,,2019-11-29T15:10:05.993Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,24086,24071,13390,23616,12762,18461,24086,24071,13390,23616,18461,12762
69,1883572405,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/9556987,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.33995,-73.073486,,,,,,,2018-01-20T00:00:00Z,20,1,2018,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,9556987,,,,CC_BY_NC_4_0,Maura,Maura,,,2019-11-29T15:10:11.594Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,228335,228335,19104,95453,209498,331554,,,19104,95453,,
70,1883568143,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/4756263,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.340962,-72.46113,,,,,,,2016-11-24T04:05:00Z,24,11,2016,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,4756263,,,2019-08-21T13:41:41Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-11-29T15:10:02.073Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,304014,304014,65346,148608,280354,375314,,,65346,148608,,
