OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
123,1,6,26134,26134,1885,4298,810,21822,26134,26134,1885,4298,21822,810
124,1,1,264106,125454,39608,84455,259922,349491,,125454,39608,84455,,
125,1,5,223344,223344,34044,58302,228904,370711,,,34044,58302,,
126,1,1,25956,12725,1730,6693,1938,7319,25956,12725,1730,6693,7319,1938
127,1,1,244210,243677,65730,131381,187748,271779,,,65730,131381,,187748
128,1,1,20539,20539,661,5534,298,8788,20539,20539,661,5534,8788,298
129,1,1,143197,143197,1609,6746,118672,253599,143197,143197,1609,6746,,118672
130,1,1,251430,188253,130193,169081,178437,257629,,188253,130193,169081,,178437
131,1,1,187794,188316,61484,120815,104559,155600,187794,188316,61484,120815,155600,104559
132,1,1,225788,225788,15599,89078,206616,306212,,,15599,89078,,
133,1,1,177936,178294,61620,117302,105527,148804,177936,178294,61620,117302,148804,105527
134,1,1,125384,18810,26998,72066,67719,117659,125384,18810,26998,72066,117659,67719
135,1,1,311091,172440,64729,123040,306732,406601,,172440,64729,123040,,
136,1,1,190886,77666,1764,22526,186198,298352,190886,77666,1764,22526,,186198
137,1,1,263884,157293,661,45404,256306,393083,,157293,661,45404,,
138,1,1,96592,96584,9056,49799,25388,70029,96592,96584,9056,49799,70029,25388
139,1,1,54448,53832,149,298,6953,70149,54448,53832,149,298,70149,6953
140,1,1,107142,106859,22785,69986,49850,72406,107142,106859,22785,69986,72406,49850
141,1,1,62806,32420,1410,9041,7963,76872,62806,32420,1410,9041,76872,7963
