OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
418,1,1,179753,48903,16679,39727,174573,259304,179753,48903,16679,39727,,174573
419,1,8,176156,123753,1424,2121,177660,313524,176156,123753,1424,2121,,177660
420,1,1,272402,204987,159331,196227,208258,278807,,,159331,196227,,
421,1,1,300921,165286,54498,111678,296487,398286,,165286,54498,111678,,
422,1,8,101290,12514,4780,39568,38740,69708,101290,12514,4780,39568,69708,38740
423,1,1,176317,78689,4836,12676,170023,296689,176317,78689,4836,12676,,170023
424,1,6,244016,244392,115344,173527,157874,208734,,,115344,173527,,157874
425,1,1,255216,189777,7894,63310,266496,403636,,189777,7894,63310,,
426,1,3,298277,298149,180565,226103,230091,276612,,,180565,,,
427,1,1,106338,106338,2628,13095,58490,177122,106338,106338,2628,13095,177122,58490
428,1,1,24389,24389,1456,5706,75,11569,24389,24389,1456,5706,11569,75
429,1,1,85762,85762,926,5063,33228,141001,85762,85762,926,5063,141001,33228
430,1,8,312129,312129,20444,129203,316797,452525,,,20444,129203,,
431,1,1,62457,28267,96,16648,13239,75598,62457,28267,96,16648,75598,13239
432,1,1,117477,69688,472,3215,80848,192909,117477,69688,472,3215,192909,80848
433,1,7,105172,105164,12638,55447,31035,76036,105172,105164,12638,55447,76036,31035
434,1,1,256270,241324,144107,195754,192916,283639,,,144107,195754,,192916
435,1,1,268074,254155,138468,206797,190208,294679,,,138468,,,190208
436,1,1,155018,35488,6621,28656,148912,236644,155018,35488,6621,28656,,148912
437,1,1,83957,12068,5991,41084,27480,70476,83957,12068,5991,41084,70476,27480
438,1,1,34852,34852,1086,6588,264,33725,34852,34852,1086,6588,33725,264
439,1,1,345121,209486,77411,138645,340655,444233,,,77411,138645,,
440,1,1,178311,92283,1987,10306,168555,303175,178311,92283,1987,10306,,168555
441,1,16,209238,208704,57727,118804,136081,208115,,,57727,118804,,136081
442,1,20,251541,94088,104892,155557,201284,266701,,94088,104892,155557,,
443,1,9,123703,123825,25233,76372,62311,93696,123703,123825,25233,76372,93696,62311
444,1,7,293519,293029,19329,108889,292041,422995,,,19329,108889,,
445,1,7,6237,5919,2086,6384,934,5735,6237,5919,2086,6384,5735,934
446,1,1,205656,177460,230,39504,240503,378855,,177460,230,39504,,
447,1,8,384997,384997,273337,309264,324087,372785,,,,,,
448,1,2,248777,88311,56121,111924,234334,279507,,88311,56121,111924,,
449,1,1,58131,57804,341,2220,6953,76209,58131,57804,341,2220,76209,6953
450,1,7,135666,95317,33905,64670,74360,151872,135666,95317,33905,64670,151872,74360
451,1,1,189833,88437,3867,14214,185125,311106,189833,88437,3867,14214,,185125
452,1,1,44964,36464,618,2718,1851,47937,44964,36464,618,2718,47937,1851
453,1,1,104503,104503,18020,58552,55444,96345,104503,104503,18020,58552,96345,55444
454,1,4,266716,266716,17767,90404,261001,393746,,,17767,90404,,
455,1,7,4824,4314,593,593,593,2173,4824,4314,593,593,2173,593
456,1,1,142099,113605,211,4967,116757,250591,142099,113605,211,4967,,116757
457,1,1,47301,40220,621,373,5996,61264,47301,40220,621,373,61264,5996
458,1,7,61367,14862,7835,29959,13407,45025,61367,14862,7835,29959,45025,13407
459,1,1,194275,193742,61026,122281,121118,186595,194275,193742,61026,122281,186595,121118
460,1,1,437301,436600,138768,244598,420875,525204,,,138768,,,
461,1,1,189630,189097,55481,116430,116473,183467,189630,189097,55481,116430,183467,116473
462,1,7,104299,104279,8872,58243,42766,73728,104299,104279,8872,58243,73728,42766
463,1,3,241735,81136,48633,99136,229391,281174,,81136,48633,99136,,
464,1,5,377774,377479,257455,301223,306981,356409,,,,,,
465,1,8,173016,138909,1310,4854,180437,314043,173016,138909,1310,4854,,180437
466,1,1,109489,103051,28562,48689,58939,135517,109489,103051,28562,48689,135517,58939
467,1,1,45044,14362,5633,13793,2315,13962,45044,14362,5633,13793,13962,2315
468,1,1,253324,185909,142541,179619,195325,259729,,185909,142541,179619,,195325
469,1,1,18487,18487,788,5926,0,6736,18487,18487,788,5926,6736,0
470,1,1,172752,65704,2348,17504,168254,279218,172752,65704,2348,17504,,168254
471,1,1,136960,136426,28509,82358,61822,112547,136960,136426,28509,82358,112547,61822
472,1,1,305062,165189,63966,117011,300703,392781,,165189,63966,117011,,
473,1,5,57400,14896,6784,22677,8639,34081,57400,14896,6784,22677,34081,8639
474,1,8,296041,295746,174053,221327,223579,274209,,,174053,,,
475,1,1,172821,72469,2276,13550,166084,288169,172821,72469,2276,13550,,166084
476,1,3,127856,122599,38397,62699,71501,152481,127856,122599,38397,62699,152481,71501
477,1,3,16634,16308,9000,10901,11590,12376,16634,16308,9000,10901,12376,11590
478,1,1,441424,440648,151230,249969,424924,529252,,,151230,,,
479,1,1,234082,234082,101394,162184,148774,204716,,,101394,162184,,148774
480,1,1,115825,115931,22187,71008,52602,81528,115825,115931,22187,71008,81528,52602
481,1,6,228835,115847,106377,161455,172406,227685,,115847,106377,161455,,172406
482,1,3,151797,28924,25658,49661,132874,199534,151797,28924,25658,49661,199534,132874
483,1,9,8505,8178,949,2742,5340,4250,8505,8178,949,2742,4250,5340
484,1,1,117348,117348,176,3736,73951,203408,117348,117348,176,3736,,73951
485,1,5,247737,245098,4418,56960,256823,399358,,,4418,56960,,
486,1,1,177349,80179,68269,120078,119980,175689,177349,80179,68269,120078,175689,119980
487,1,1,139060,26579,34439,81376,81395,131582,139060,26579,34439,81376,131582,81395
488,1,1,170450,117761,742,1904,166792,302112,170450,117761,742,1904,,166792
489,1,6,198871,198703,76959,132920,122597,169739,198871,198703,76959,132920,169739,122597
490,1,1,24691,21669,4282,12002,1918,12989,24691,21669,4282,12002,12989,1918
491,1,9,299557,299801,194487,228373,236728,283060,,,194487,,,
492,1,1,143617,39058,1974,18887,133828,229335,143617,39058,1974,18887,,133828
493,1,9,41429,21031,11030,21370,8691,21196,41429,21031,11030,21370,21196,8691
494,1,1,213902,213902,39012,100810,158395,245171,,,39012,100810,,158395
495,1,1,103079,102546,12672,58394,34457,70762,103079,102546,12672,58394,70762,34457
496,1,1,333156,333231,62919,154451,314859,417378,,,62919,154451,,
