OBJECTID,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
270,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.786226,-72.375893,10000,,,,,,2016-09-28T22:03:00Z,28,9,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,6179693,,,2017-05-12T10:30:07Z,CC_BY_NC_4_0,Peter Hollinger,Peter Hollinger,,,2019-09-21T02:13:25.742Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,243792,243739,58779,128477,187845,272681,,,58779,128477,,187845
271,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.780277,-72.37452,10000,,,,,,2007-05-21T12:12:00Z,21,5,2007,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,6177551,,,2017-05-12T01:25:45Z,CC_BY_NC_4_0,Peter Hollinger,Peter Hollinger,,,2019-09-21T02:13:25.439Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,242857,242857,58854,128385,186963,271799,,,58854,128385,,186963
272,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.35901,-72.53294,244,,,,,,2017-04-12T20:02:00Z,12,4,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,6155017,,,2017-05-10T00:10:00Z,CC_BY_NC_4_0,ctc,ctc,,,2019-09-21T02:13:25.448Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,186380,185846,43786,103332,113223,185257,186380,185846,43786,103332,185257,113223
273,1780,Ursus americanus,,US,,Pennsylvania,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.324399,-75.215887,170,,,,,,2017-04-20T19:48:28Z,20,4,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,5881081,,,2017-04-21T01:26:01Z,CC_BY_NC_4_0,D.J. McNeil,D.J. McNeil,,,2019-09-21T02:13:24.845Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,225353,175665,111907,148675,152474,238179,,175665,111907,148675,,152474
274,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.736437,-72.526975,191,,,,,,2016-01-29T16:12:58Z,29,1,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,2628676,,,2016-01-30T00:15:52Z,CC_BY_NC_4_0,Ed Sharron,Ed Sharron,,,2019-09-21T02:13:24.841Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,214498,214498,43918,105716,158744,243216,,,43918,105716,,158744
275,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.852,-72.412005,,,,,,,2017-03-02T10:03:00Z,2,3,2017,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,5212370,,,2017-03-02T20:58:02Z,CC_BY_NC_4_0,Kent McFarland,Kent McFarland,,,2019-09-21T02:13:26.277Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,247036,247036,54289,126743,191529,278457,,,54289,126743,,191529
276,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.349942,-73.006247,,,,,,,2016-10-13T14:14:44Z,13,10,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,5127238,,,2017-02-18T03:45:19Z,CC_BY_NC_4_0,Erin,Erin,,,2019-09-21T02:13:25.916Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,233543,233543,17510,97681,214592,333087,,,17510,97681,,
277,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.606235,-72.823648,122,,,,,,2016-04-30T09:04:00Z,30,4,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4894527,,,2017-01-04T20:10:21Z,CC_BY_NC_4_0,darontansley,darontansley,,,2019-09-21T02:13:25.382Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,302747,302747,32104,119751,284973,396104,,,32104,119751,,
278,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.808726,-72.209516,4,,,,,,2016-07-31T18:10:00Z,31,7,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4831740,,,2016-12-22T19:51:19Z,CC_BY_NC_4_0,tapaculo99,tapaculo99,,,2019-10-01T08:07:14.141Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,278819,278819,84944,159166,222924,307761,,,84944,159166,,
279,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.878135,-73.196774,60596,,,,,,2015-11-01T17:36:00Z,1,11,2015,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,4590271,,,2016-11-17T22:42:13Z,CC_BY_NC_4_0,maurasoup,maurasoup,,,2019-09-21T02:13:25.600Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,15,115262,114995,31446,74282,49805,84362,115262,114995,31446,74282,84362,49805
