OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
266,1883962132,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14731559,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.775745,-72.531724,27754,,,,,,2018-07-25T07:30:00Z,25,7,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14731559,,,2018-07-25T23:01:50Z,CC_BY_NC_4_0,jward41,jward41,,,2019-09-21T00:27:59.335Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,10,349605,350677,226843,285468,273694,321188,,,,,,
267,1883920048,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14541447,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.157843,-73.312365,27847,,,,,,2018-07-19T00:00:00Z,19,7,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14541447,,,2018-07-20T14:28:42Z,CC_BY_NC_4_0,sharpjules,sharpjules,,,2019-09-21T00:28:00.672Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,323032,323277,218429,251848,260204,306536,,,,,,
268,1883566541,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2744470,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.32245,-72.50508,,,,,,,2016-02-10T11:54:32Z,10,2,2016,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,2744470,,,2018-07-14T16:46:30Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-09-21T00:27:56.834Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,7,294577,294577,58008,141271,270917,365878,,,58008,141271,,
269,1883566539,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2744472,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.321462,-72.505408,,,,,,,2016-02-10T11:55:35Z,10,2,2016,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,2744472,,,2018-07-14T16:50:27Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-09-21T00:28:06.431Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,294667,294667,58278,141541,271007,365968,,,58278,141541,,
270,1883566538,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2744471,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.322108,-72.505172,,,,,,,2016-02-10T11:54:54Z,10,2,2016,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,2744471,,,2018-07-14T16:50:47Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-09-21T00:28:03.583Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,294593,294593,58151,141413,270932,365893,,,58151,141413,,
271,1883526811,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14365092,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.828879,-72.831482,27723,,,,,,2018-05-26T00:00:00Z,26,5,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14365092,,,2018-07-14T23:25:17Z,CC_BY_NC_4_0,debcushman,debcushman,,,2019-09-21T00:28:01.685Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,233887,233757,111571,167219,157409,204756,,,111571,167219,,157409
272,1883524733,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14356699,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,rufus,SUBSPECIES,Lynx rufus rufus,Lynx rufus rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.583952,-73.121039,27785,,,,,,2018-07-08T10:35:00Z,8,7,2018,7193912,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14356699,,,2018-07-14T19:19:37Z,CC_BY_NC_4_0,Greg Hanisek,Greg Hanisek,,,2019-09-20T23:42:39.589Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,237064,236769,121621,169394,170660,215232,,,121621,169394,,170660
273,1883508753,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14289513,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.522885,-72.676448,27785,,,,,,2018-05-31T00:00:00Z,31,5,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14289513,,,2018-07-12T15:54:07Z,CC_BY_NC_4_0,azagryn,azagryn,,,2019-09-21T00:28:04.583Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,336702,336420,210850,261104,261938,310411,,,,,,
274,1883502990,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14268680,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.356083,-73.197509,27816,,,,,,2018-07-11T07:49:00Z,11,7,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14268680,,,2018-07-11T20:15:16Z,CC_BY_NC_4_0,surprise,surprise,,,2019-09-21T00:28:03.759Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,273132,273005,163807,204890,209881,252289,,,163807,,,
275,1883480025,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/14181010,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.698565,-72.836532,27754,,,,,,2017-08-24T17:45:07Z,24,8,2017,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,14181010,,,2018-07-08T22:19:27Z,CC_BY_NC_4_0,mickspundgen,mickspundgen,,,2019-09-21T00:28:02.364Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,254365,254083,131059,181734,179600,226901,,,131059,181734,,179600
