OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
771,1,1,62209,62209,1121,24337,2048,84419,62209,62209,1121,24337,84419,2048
772,1,2,44386,44386,6078,28043,7596,16452,44386,44386,6078,28043,16452,7596
773,1,1,168945,169054,26099,85331,96465,172896,168945,169054,26099,85331,172896,96465
774,1,1,60804,60804,1038,15234,7259,84190,60804,60804,1038,15234,84190,7259
775,1,1,161507,161507,16737,74848,103462,195874,161507,161507,16737,74848,195874,103462
776,1,1,222600,222067,75605,137090,149443,217884,,,75605,137090,,149443
777,1,1,197658,197658,16160,75628,145400,240360,197658,197658,16160,75628,,145400
778,1,5,153356,153356,17182,41088,121446,241628,153356,153356,17182,41088,,121446
779,1,9,107473,107473,8712,32786,68930,177529,107473,107473,8712,32786,177529,68930
780,1,1,122089,122062,14589,63491,47961,108516,122089,122062,14589,63491,108516,47961
781,1,1,184044,184044,28463,88294,124173,207746,184044,184044,28463,88294,,124173
782,1,1,211223,211223,20953,82571,158237,253198,,,20953,82571,,158237
783,1,7,160501,159968,30692,89924,87344,158399,160501,159968,30692,89924,158399,87344
784,1,1,219585,219585,17493,81620,176308,271268,,,17493,81620,,176308
785,1,1,137929,137929,17221,66118,98153,189445,137929,137929,17221,66118,189445,98153
786,1,1,132794,132794,14589,67610,61710,137792,132794,132794,14589,67610,137792,61710
787,1,1,208480,208480,15976,73483,169512,264051,,,15976,73483,,169512
788,1,1,46267,46267,1165,10805,1044,56154,46267,46267,1165,10805,56154,1044
789,1,1,210516,209982,52154,112444,139362,217712,,,52154,112444,,139362
790,1,1,226499,226499,16195,89714,207327,305834,,,16195,89714,,
791,1,1,139641,139641,2740,11325,108148,245498,139641,139641,2740,11325,,108148
792,1,1,53014,53378,9946,37112,15360,25685,53014,53378,9946,37112,25685,15360
793,1,1,276267,276267,53328,134181,230126,325087,,,53328,134181,,
794,1,1,72669,72669,618,5756,23793,114257,72669,72669,618,5756,114257,23793
795,1,1,104831,104831,8538,50517,35750,110282,104831,104831,8538,50517,110282,35750
796,1,1,108563,108030,12885,56408,33571,76798,108563,108030,12885,56408,76798,33571
797,1,1,90336,90336,475,18483,37970,143414,90336,90336,475,18483,143414,37970
798,1,8,329695,329695,89291,173927,285449,380410,,,89291,173927,,
799,1,1,121752,121638,14589,63395,47537,103335,121752,121638,14589,63395,103335,47537
800,1,1,243091,243091,28836,104423,204226,299186,,,28836,104423,,
801,1,3,68521,68285,7551,46805,19343,39205,68521,68285,7551,46805,39205,19343
802,1,9,201989,201455,66852,130297,128832,191636,,,66852,130297,191636,128832
803,1,7,300292,300215,79869,160660,245025,332623,,,79869,160660,,
804,1,1,182598,182598,24638,65794,145803,262209,182598,182598,24638,65794,,145803
805,1,1,106338,106338,2628,13095,58490,177122,106338,106338,2628,13095,177122,58490
806,1,1,85762,85762,926,5063,33228,141001,85762,85762,926,5063,141001,33228
807,1,7,105172,105164,12638,55447,31035,76036,105172,105164,12638,55447,76036,31035
808,1,16,209238,208704,57727,118804,136081,208115,,,57727,118804,,136081
809,1,1,194275,193742,61026,122281,121118,186595,194275,193742,61026,122281,186595,121118
810,1,1,189630,189097,55481,116430,116473,183467,189630,189097,55481,116430,183467,116473
811,1,1,18487,18487,788,5926,0,6736,18487,18487,788,5926,6736,0
812,1,1,136960,136426,28509,82358,61822,112547,136960,136426,28509,82358,112547,61822
813,1,1,213902,213902,39012,100810,158395,245171,,,39012,100810,,158395
814,1,1,103079,102546,12672,58394,34457,70762,103079,102546,12672,58394,70762,34457
815,1,8,280517,280287,57581,138434,229618,324579,,,57581,138434,,
816,1,1,140499,140499,3527,26255,113318,243897,140499,140499,3527,26255,,113318
817,1,2,97715,97181,13621,61078,38700,64292,97715,97181,13621,61078,64292,38700
818,1,1,307660,307489,69184,152884,264036,358996,,,69184,152884,,
819,1,3,132635,132635,21773,61074,94379,190772,132635,132635,21773,61074,190772,94379
820,1,1,207099,207099,15601,72809,162554,257093,,,15601,72809,,162554
821,1,9,54714,54714,43718,54776,46329,48765,54714,54714,43718,54776,48765,46329
822,1,1,167275,167219,25163,84395,95745,173578,167275,167219,25163,84395,173578,95745
823,1,1,145238,144704,31025,85873,70603,125900,145238,144704,31025,85873,125900,70603
824,1,1,179466,178933,35588,95112,106309,181288,179466,178933,35588,95112,181288,106309
825,1,1,7969,7957,5847,10449,4851,7416,7969,7957,5847,10449,7416,4851
826,1,1,227232,226699,75388,136785,154075,224490,,,75388,136785,,154075
827,1,8,200531,200531,14503,74576,186831,315890,,,14503,74576,,186831
828,1,3,192759,192759,22471,66551,164833,270019,192759,192759,22471,66551,,164833
829,1,1,14614,14614,640,5778,367,2864,14614,14614,640,5778,2864,367
830,1,1,127801,127801,14542,67658,56670,126883,127801,127801,14542,67658,126883,56670
831,1,6,146142,145608,31100,86473,71568,127756,146142,145608,31100,86473,127756,71568
832,1,1,123311,122777,18258,70452,48252,98313,123311,122777,18258,70452,98313,48252
833,1,1,71144,71144,3238,11240,20071,107801,71144,71144,3238,11240,107801,20071
834,1,6,60759,60759,3444,19462,5574,83213,60759,60759,3444,19462,83213,5574
835,1,1,135007,135007,15986,63600,89678,181136,135007,135007,15986,63600,181136,89678
836,1,4,137449,136916,25422,77780,64104,123527,137449,136916,25422,77780,123527,64104
837,1,1,44513,44513,739,5876,4228,58330,44513,44513,739,5876,58330,4228
838,1,3,46329,46329,6923,29048,8441,15088,46329,46329,6923,29048,15088,8441
839,1,3,84930,84930,6294,38812,17544,100517,84930,84930,6294,38812,100517,17544
840,1,2,85167,85062,11069,51530,25136,55981,85167,85062,11069,51530,55981,25136
841,1,1,53348,53348,767,3852,7940,76174,53348,53348,767,3852,76174,7940
842,1,1,112016,112016,2210,22944,70168,186773,112016,112016,2210,22944,186773,70168
843,1,6,26134,26134,1885,4298,810,21822,26134,26134,1885,4298,21822,810
844,1,1,244210,243677,65730,131381,187748,271779,,,65730,131381,,187748
845,1,1,143197,143197,1609,6746,118672,253599,143197,143197,1609,6746,,118672
846,1,1,225788,225788,15599,89078,206616,306212,,,15599,89078,,
847,1,1,96592,96584,9056,49799,25388,70029,96592,96584,9056,49799,70029,25388
848,1,2,207602,171829,1925,37611,239990,373900,,171829,1925,37611,,
849,1,7,281284,136276,60788,108779,277100,360579,,136276,60788,108779,,
850,1,1,171562,110375,356,2144,168082,302077,171562,110375,356,2144,,168082
851,1,1,332633,207472,56184,116340,326903,449831,,,56184,116340,,
852,1,1,201543,75562,16389,40084,197107,295468,,75562,16389,40084,,197107
853,1,1,178336,105124,476,4076,177163,312985,178336,105124,476,4076,,177163
854,1,1,185332,119351,0,8912,194701,329621,185332,119351,0,8912,,194701
855,1,1,207067,130523,982,21997,214766,353147,,130523,982,21997,,
856,1,1,320193,182615,66840,128064,315759,417558,,182615,66840,128064,,
857,1,1,159653,133769,955,4636,155166,287774,159653,133769,955,4636,,155166
858,1,1,262087,123230,47789,89032,257903,345029,,123230,47789,89032,,
859,1,1,286898,196971,23163,87140,285958,429455,,196971,23163,87140,,
860,1,1,194186,73812,6463,29664,189824,293450,194186,73812,6463,29664,,189824
861,1,1,228679,150821,8104,32807,234415,375046,,150821,8104,32807,,
862,1,1,228665,97097,19451,49376,224430,324024,,97097,19451,49376,,
863,1,1,158278,76927,1118,10902,140676,266473,158278,76927,1118,10902,,140676
864,1,1,236406,166446,1205,42438,246828,383755,,166446,1205,42438,,
865,1,1,202232,92093,1565,18693,197535,317317,,92093,1565,18693,,197535
866,1,1,262063,133810,19138,65309,257342,372306,,133810,19138,65309,,
867,1,1,314827,179192,54851,115963,310393,415885,,179192,54851,115963,,
868,1,1,207940,164682,6599,36369,236256,373301,,164682,6599,36369,,
869,1,3,228584,169198,1565,37122,242611,378528,,169198,1565,37122,,
870,1,1,166184,85573,373,8532,153663,284406,166184,85573,373,8532,,153663
871,1,7,270810,177487,6675,67413,266465,410082,,177487,6675,67413,,
872,1,1,158727,104479,75,879,146302,277924,158727,104479,75,879,,146302
873,1,1,291568,187742,12413,80964,285429,426219,,187742,12413,80964,,
874,1,1,244936,180424,2156,53451,254966,393905,,180424,2156,53451,,
875,1,1,160729,108643,689,1959,148046,282785,160729,108643,689,1959,,148046
876,1,1,176285,115787,0,929,178246,311526,176285,115787,0,929,,178246
877,1,1,314953,190560,38522,98982,309223,432151,,190560,38522,98982,,
878,1,1,256424,122636,21882,64869,251796,360301,,122636,21882,64869,,
879,1,1,189733,141145,450,14532,205945,341768,189733,141145,450,14532,,
880,1,1,250966,165733,2842,53050,251923,394492,,165733,2842,53050,,
881,1,1,275935,185539,13274,75250,274525,417543,,185539,13274,75250,,
882,1,6,222425,149266,6610,29378,231444,369408,,149266,6610,29378,,
883,1,1,205218,158289,2368,26489,225096,363280,,158289,2368,26489,,
884,1,1,252165,117957,22038,64814,247604,354937,,117957,22038,64814,,
885,1,1,242719,156580,1705,43704,242770,385134,,156580,1705,43704,,
886,1,1,200322,112479,2947,16288,197861,337609,,112479,2947,16288,,197861
887,1,1,193924,91484,4233,15192,188567,314936,193924,91484,4233,15192,,188567
888,1,1,157113,88569,1487,5844,139806,269196,157113,88569,1487,5844,,139806
889,1,1,158212,109571,105,842,145350,277635,158212,109571,105,842,,145350
890,1,2,220419,101895,8017,36533,215731,327038,,101895,8017,36533,,
891,1,1,282709,200088,25533,87128,285913,427957,,,25533,87128,,
892,1,1,231486,166381,649,39492,242806,379946,,166381,649,39492,,
893,1,1,208767,103849,3861,14581,203456,330356,,103849,3861,14581,,
894,1,1,261016,122159,47994,88266,256832,343396,,122159,47994,88266,,
895,1,1,336585,201052,65240,126548,332221,445321,,,65240,126548,,
896,1,1,162408,108831,540,581,152819,285681,162408,108831,540,581,,152819
897,1,1,268453,160101,661,49262,260875,397652,,160101,661,49262,,
898,1,3,231713,184749,5604,58151,257939,396626,,184749,5604,58151,,
899,1,1,235488,104723,18537,51011,230800,337366,,104723,18537,51011,,
900,1,1,174595,133061,475,4855,179302,315684,174595,133061,475,4855,,179302
901,1,1,176777,134945,528,6019,183442,320048,176777,134945,528,6019,,183442
902,1,1,195344,158219,2153,25788,223327,359090,195344,158219,2153,25788,,
903,1,1,301722,176198,26405,87629,295992,418920,,176198,26405,87629,,
904,1,1,152299,110721,347,2773,131877,266480,152299,110721,347,2773,,131877
905,1,1,153874,98805,105,954,136570,267620,153874,98805,105,954,,136570
906,1,1,172074,75986,4507,11850,162284,287757,172074,75986,4507,11850,,162284
907,1,8,176156,123753,1424,2121,177660,313524,176156,123753,1424,2121,,177660
908,1,1,300921,165286,54498,111678,296487,398286,,165286,54498,111678,,
909,1,1,176317,78689,4836,12676,170023,296689,176317,78689,4836,12676,,170023
910,1,1,255216,189777,7894,63310,266496,403636,,189777,7894,63310,,
911,1,1,345121,209486,77411,138645,340655,444233,,,77411,138645,,
912,1,1,178311,92283,1987,10306,168555,303175,178311,92283,1987,10306,,168555
913,1,1,189833,88437,3867,14214,185125,311106,189833,88437,3867,14214,,185125
914,1,8,173016,138909,1310,4854,180437,314043,173016,138909,1310,4854,,180437
915,1,1,172752,65704,2348,17504,168254,279218,172752,65704,2348,17504,,168254
916,1,1,305062,165189,63966,117011,300703,392781,,165189,63966,117011,,
917,1,1,172821,72469,2276,13550,166084,288169,172821,72469,2276,13550,,166084
918,1,1,170450,117761,742,1904,166792,302112,170450,117761,742,1904,,166792
919,1,7,261951,132352,20900,65373,257230,371790,,132352,20900,65373,,
920,1,1,181002,136745,0,8597,190462,328087,181002,136745,0,8597,,190462
921,1,1,187563,127897,2592,11143,199440,335468,187563,127897,2592,11143,,199440
922,1,7,185912,140174,1310,12821,199421,336999,185912,140174,1310,12821,,199421
923,1,7,246292,181411,3348,54522,256332,394976,,181411,3348,54522,,
924,1,1,169210,62609,1118,15979,164712,275940,169210,62609,1118,15979,,164712
925,1,7,289861,154226,37544,94644,285427,391493,,154226,37544,94644,,
926,1,1,311084,175449,56978,117033,306650,408450,,175449,56978,117033,,
927,1,1,295507,169041,25247,85487,289777,406992,,169041,25247,85487,,
928,1,1,264106,125454,39608,84455,259922,349491,,125454,39608,84455,,
929,1,1,311091,172440,64729,123040,306732,406601,,172440,64729,123040,,
930,1,1,190886,77666,1764,22526,186198,298352,190886,77666,1764,22526,,186198
931,1,1,263884,157293,661,45404,256306,393083,,157293,661,45404,,
932,1,1,186813,162477,332,17257,205480,341533,186813,162477,332,17257,,
933,1,3,261578,261578,15706,96559,245382,363178,,,15706,96559,,
934,1,5,247834,247834,16815,71225,256920,399455,,,16815,71225,,
935,1,1,272974,272974,19001,95008,277643,413371,,,19001,95008,,
936,1,1,170054,163696,3283,8604,167714,307313,170054,163696,3283,8604,,167714
937,1,5,245682,245682,32911,92751,236698,369443,,,32911,92751,,
938,1,1,389642,389642,101623,200083,371995,476429,,,101623,,,
939,1,1,268151,268151,15470,96323,251955,371625,,,15470,96323,,
940,1,3,371445,371445,85652,183928,353488,457041,,,85652,183928,,
941,1,1,164598,164598,4809,13065,151616,294601,164598,164598,4809,13065,,151616
942,1,1,356094,356168,51924,158524,358161,487147,,,51924,158524,,
943,1,7,329662,328961,36633,140389,326632,446112,,,36633,140389,,
944,1,5,190136,190136,11250,32142,194601,336408,190136,190136,11250,32142,,194601
945,1,1,163270,153555,0,5138,159651,293903,163270,153555,0,5138,,159651
946,1,7,235289,234806,5904,46346,244375,386910,,,5904,46346,,
947,1,1,387213,386512,91924,197716,380772,491903,,,91924,197716,,
948,1,1,314778,314778,43421,135763,296823,407955,,,43421,135763,,
949,1,1,208043,208043,15716,80267,197756,329437,,,15716,80267,,197756
