OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
141,2236251469,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/22172843,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.516692,-72.7016,27785,,,,,,2019-03-05T00:08:57Z,5,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,22172843,,,2019-04-08T00:54:52Z,CC_BY_NC_4_0,rshealand,rshealand,,,2019-09-21T00:27:57.727Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,331621,330963,205394,255647,256481,304955,,,,,,
142,2236248137,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/22172674,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.559993,-72.797743,27785,,,,,,2019-03-25T21:31:29Z,25,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,22172674,,,2019-04-08T00:51:44Z,CC_BY_NC_4_0,rshealand,rshealand,,,2019-09-21T00:28:06.667Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,2,301940,301695,175879,225947,227212,275691,,,175879,,,
143,2236216913,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/22021519,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.39758,-73.201331,27816,,,,,,2019-04-05T00:00:00Z,5,4,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,22021519,,,2019-04-05T13:04:29Z,CC_BY_NC_4_0,Dan Mallen,Dan Mallen,,,2019-09-21T00:28:11.752Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,260397,260270,151305,192155,197146,239554,,,151305,192155,,197146
144,2234794026,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21644397,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.329851,-73.141704,27816,,,,,,2019-02-14T00:00:00Z,14,2,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21644397,,,,CC_BY_NC_4_0,kidgrampy,kidgrampy,,,2019-09-21T00:28:07.493Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,4,286653,286526,175007,218287,223402,265810,,,175007,,,
145,2234762205,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21536563,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.65575,-72.970469,27754,,,,,,2019-03-23T10:17:02Z,23,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21536563,,,2019-03-24T00:28:07Z,CC_BY_NC_4_0,cmichet,cmichet,,,2019-09-21T00:27:58.867Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,245316,245021,122333,171364,171614,219012,,,122333,171364,,171614
146,2234760071,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21536997,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.7722,-72.997946,27754,,,,,,2019-03-23T00:00:00Z,23,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21536997,,,2019-03-24T00:40:38Z,CC_BY_NC_4_0,cmichet,cmichet,,,2019-09-21T00:27:58.472Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,213390,213095,93585,144034,139251,185913,,,93585,144034,185913,139251
147,2028506516,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21429415,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.519791,-73.225971,27785,,,,,,2019-03-19T00:00:00Z,19,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21429415,,,2019-03-20T20:31:32Z,CC_BY_NC_4_0,Robert,Robert,,,2019-09-21T00:27:53.587Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,230816,230688,120870,165636,167565,209973,,,120870,165636,,167565
148,2013753131,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21220923,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.27703,-72.584477,27816,,,,,,2019-03-05T07:05:00Z,5,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21220923,,,2019-03-14T02:03:41Z,CC_BY_NC_4_0,tvshooter,tvshooter,,,2019-09-21T00:28:00.513Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,400629,399722,272550,322162,324413,378185,,,,,,
149,2013743246,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21189686,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.995142,-72.819915,27723,,,,,,2019-03-11T00:00:00Z,11,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21189686,,,2019-03-12T23:18:40Z,CC_BY_NC_4_0,tm374999,tm374999,,,2019-09-21T00:27:56.547Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,202245,202874,80109,137873,126098,173136,,,80109,137873,173136,126098
150,2013742836,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/21188660,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,rufus,SUBSPECIES,Lynx rufus rufus,Lynx rufus rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.894506,-72.977574,27723,,,,,,2019-01-15T16:21:05Z,15,1,2019,7193912,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,21188660,,,2019-03-12T22:37:17Z,CC_BY_NC_4_0,deket27,deket27,,,2019-09-20T23:42:36.808Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,193112,192929,73178,128625,118302,164086,193112,192929,73178,128625,164086,118302
